12-24  各地区废气排放及处理情况 (2009年),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
地  区,废气治理,工业废气,,,工业二氧,生活二氧,工业二氧化硫,工业烟尘,生活烟尘,工业烟尘,工业粉尘,工业粉尘
,设施数,排放总量,燃料燃烧,生产工艺,化硫排放量,化硫排放量,去 除 量,排 放 量,排 放 量,去 除 量,排 放 量,去 除 量
,(套),(亿标立方米),,,(万吨),(万吨),(万吨),(万吨),(万吨),(万吨),(万吨),(万吨)
,,,,,,,,,,,,
 全  国,176489,436064,241201,194862,1865.9,348.5,2889.9,604.4,243.3,32848.1,523.6,8722.6
,,,,,,,,,,,,
 北  京,2603,4408,1777,2631,6.0,5.9,11.3,1.9,2.5,181.7,1.7,80.3
 天  津,3157,5983,4040,1943,17.3,6.4,25.7,5.9,1.3,420.3,0.8,65.1
 河  北,11845,50779,24836,25943,104.3,21.1,123.8,33.0,18.9,2355.6,42.7,561.0
 山  西,9200,23693,13066,10627,101.0,25.9,143.4,43.8,20.9,2137.2,42.8,319.2
 内蒙古,4956,24844,14382,10462,120.4,19.5,164.6,32.1,17.3,2458.2,16.4,234.4
,,,,,,,,,,,,
 辽  宁,10067,25211,11284,13928,91.9,13.3,102.2,40.1,21.1,1865.5,22.7,636.5
 吉  林,3037,7124,5095,2029,30.0,6.3,12.8,27.7,10.7,868.9,6.6,374.8
 黑龙江,4313,9977,8260,1717,41.9,7.1,7.4,31.9,11.4,1058.7,10.1,79.8
,,,,,,,,,,,,
 上  海,3986,10059,3382,6677,23.9,14.0,38.5,3.6,6.5,513.5,0.8,95.7
 江  苏,11508,27432,17752,9680,101.2,6.2,185.6,30.1,2.9,2279.4,16.4,323.1
 浙  江,14526,18860,11913,6947,67.7,2.4,130.6,18.0,1.0,1234.3,16.8,869.7
 安  徽,4733,15273,7038,8234,48.7,5.2,161.9,23.0,5.0,1363.6,28.5,344.4
 福  建,6931,10497,6580,3917,39.9,2.0,35.5,7.1,4.3,606.4,15.7,249.2
 江  西,3953,8286,4711,3575,49.0,7.4,143.0,13.9,2.5,741.8,26.3,567.4
 山  东,11727,35127,19539,15587,136.6,22.4,273.3,30.2,11.5,3339.8,22.1,554.6
,,,,,,,,,,,,
 河  南,8740,22186,12773,9412,117.6,17.9,141.4,52.1,7.6,2685.9,24.9,572.7
 湖  北,5211,12523,5958,6565,52.7,11.6,88.5,17.9,3.7,789.0,18.3,408.3
 湖  南,5117,10973,4373,6599,64.9,16.2,84.8,27.6,6.6,660.2,57.5,323.5
 广  东,13011,22682,14033,8649,101.3,5.8,187.4,24.8,5.3,988.3,10.5,464.1
 广  西,6006,13184,7588,5596,83.5,5.5,87.8,24.7,1.3,372.6,46.7,323.6
 海  南,397,1353,1023,330,2.1,0.1,6.0,0.8,0.2,55.9,0.9,12.6
,,,,,,,,,,,,
 重  庆,3309,12587,6659,5928,58.6,16.0,78.0,10.9,8.2,439.0,10.8,59.0
 四  川,6927,13410,7436,5974,94.6,18.9,83.8,19.6,8.9,946.3,11.4,179.4
 贵  州,2441,7786,4763,3023,62.4,55.2,131.8,11.8,32.2,1396.9,9.9,177.4
 云  南,5432,9484,4758,4726,41.8,8.1,141.7,12.4,5.5,1105.3,10.2,370.5
 西  藏,51,15,14,2,0.2,,,0.1,0.2,0.1,0.1,
,,,,,,,,,,,,
 陕  西,4035,11032,6822,4210,74.2,6.3,74.5,15.1,5.2,779.9,14.8,221.4
 甘  肃,2716,6314,3375,2939,40.1,9.9,191.3,9.2,7.0,304.7,8.4,89.4
 青  海,752,3308,757,2551,12.7,0.8,1.3,5.4,2.2,107.8,6.9,63.7
 宁  夏,1503,4701,2556,2144,27.8,3.6,29.3,7.9,1.8,466.0,3.6,45.6
 新  疆,4299,6975,4658,2317,51.5,7.5,3.0,22.0,9.7,325.3,18.5,56.3
,,,,,,,,,,,,
