8-16  主要城市废气中主要污染物排放情况 (2013年),,,,,,
,,,,,,
单位：吨,,,,,,
城    市,工业二氧化硫,工业氮氧化物,工业烟(粉)尘,生活二氧化硫,生活氮氧化物,生活烟尘
,排放量,排放量,排放量,排放量,排放量,排放量
,,,,,,
 北    京,52041,75927,27182,34967,13638,28258
 天    津,207793,250646,62766,8959,5221,18400
 石 家 庄,176469,200301,99806,9564,2802,6635
 太    原,88880,96018,37003,33396,6738,26727
 呼和浩特,96190,131665,48822,4257,665,3763
 沈    阳,130672,83348,60425,14389,5154,15276
 长    春,57246,95190,72970,7344,1545,7919
 哈 尔 滨,65987,85515,82323,50012,22985,80792
 上    海,172867,262346,67174,42947,23474,6451
 南    京,110665,109693,65256,1750,400,1000
 杭    州,82021,67283,40243,633,335,135
 合    肥,41483,70311,42387,2710,130,3188
 福    州,76043,72284,43483,1279,169,547
 南    昌,40756,18597,11413,641,58,254
 济    南,81118,72969,47117,26087,3629,8355
 郑    州,106123,134120,33828,11975,1780,9150
 武    汉,96222,95612,20020,5720,1416,1001
 长    沙,21173,15951,19545,2366,153,2946
 广    州,65589,57164,16660,663,276,214
 南    宁,33045,34797,20950,8748,1068,4631
 海    口,1798,86,1149,11,17,5
 重    庆,494415,247905,179842,53261,4487,4401
 成    都,52040,44411,21452,4891,2109,661
 贵    阳,70603,30450,24233,35493,1753,5530
 昆    明,102842,68213,57366,5263,970,328
 拉    萨,930,2016,538,678,40,199
 西    安,69103,34917,15893,23831,10951,14012
 兰    州,72148,79915,40109,7413,1950,1088
 西    宁,71839,53280,52765,7129,1419,4793
 银    川,92369,84321,27170,5697,1237,3016
 乌鲁木齐,74216,113803,52441,6691,1425,4920
,,,,,,
