地区,,16岁及,经济活动人口,,,,,非经济
,总人口,以上,小计,就业人口,,,失业人口,活动
性别,,人口,,小计,正在工作,暂未工作,,人口
全国,127339585,103817124,73666301,71547989,69677870,1870119,2118312,30150823
北京,1849475,1672749,1020455,977387,956085,21302,43068,652294
天津,1127589,992504,581836,550787,537405,13382,31049,410668
河北,7037620,5759327,4094886,4004477,3778132,226345,90409,1664441
山西,3477805,2810549,1801393,1729275,1674324,54951,72118,1009156
内蒙古,2310941,1948123,1321004,1285021,1186599,98422,35983,627119
辽宁,4252076,3713575,2437622,2345361,2291700,53661,92261,1275953
吉林,2551123,2209254,1480029,1429001,1365792,63209,51028,729225
黑龙江,3465051,3000940,1940036,1868107,1609575,258532,71929,1060904
上海,2253525,2040875,1308691,1251461,1245956,5505,57230,732184
江苏,7577122,6482159,4591588,4486706,4466187,20519,104882,1890571
浙江,5400348,4611756,3385618,3280387,3253614,26773,105231,1226138
安徽,5312628,4211557,2962251,2897236,2857786,39450,65015,1249306
福建,3477491,2880394,2005135,1950006,1931138,18868,55129,875259
江西,4251692,3242397,2305307,2251205,2239007,12198,54102,937090
山东,9272503,7688407,5803432,5694220,5495610,198610,109212,1884975
河南,9224288,7124733,5153619,5006277,4619307,386970,147342,1971114
湖北,5226904,4391940,3126385,3035863,3006635,29228,90522,1265555
湖南,6096586,4920101,3499264,3389354,3342391,46963,109910,1420837
广东,9676589,7852679,5740925,5525078,5496123,28955,215847,2111754
广西,4362551,3301266,2530754,2447946,2426186,21760,82808,770512
海南,826560,640690,450576,426823,421295,5528,23753,190114
重庆,2609882,2107266,1424331,1374581,1366077,8504,49750,682935
四川,8161604,6598501,4801677,4688003,4650951,37052,113674,1796824
贵州,3332265,2404526,1723117,1676240,1657741,18499,46877,681409
云南,4467537,3438510,2710172,2668421,2661317,7104,41751,728338
西藏,265904,195270,149281,147821,143756,4065,1460,45989
陕西,3614887,3012481,2058807,1996061,1952780,43281,62746,953674
甘肃,2623094,2077912,1462388,1414319,1343839,70480,48069,615524
青海,535412,411514,296990,290469,278878,11591,6521,114524
宁夏,611957,467146,334932,327094,318587,8507,7838,132214
新疆,2086576,1608023,1163800,1133002,1103097,29905,30798,444223
